UserID,Age,Annual_Income,Tech_Spend_Score,Preferred_Brand,Is_Premium_User
290,42.0,-500.0,98.88414941358883,Apple,0
10,28.0,62939.493009144324,32.83669370332287,,0
58,,-120000.0,90.06509231735622,Samsung,0
61,57.0,67088.39170239324,,Apple,0
26,29.0,,53.59530964337987,Apple,0
64,23.0,49781.11065426076,1.7459019502733992,Sony,0
93,62.0,,73.88847118615033,Samsung,0
185,56.0,88874.94419371523,95.94840466183875,Appel,1
245,,32985.56094116987,56.17323152011474,,1
47,26.0,23962.240619868797,47.92302420162506,Sony,0
76,32.0,46451.68664570487,99.72829794207104,Nothing,1
164,45.0,61204.65842978184,15.169670569298493,,1
297,33.0,61520.960797927706,33.075016049573165,,1
74,31.0,2500000.0,2.8060056614077435,Apple,0
286,37.0,78292.1103118817,88.8585877688368,Apple,0
291,46.0,41838.91912859124,,Sony,1
6,,79168.27672426598,36.243156942926625,Sony,0
156,32.0,,,,0
165,19.0,31210.76806732539,21.249914723776865,Nothing,0
169,45.0,60887.01114998134,11.188687043670356,Nothing,0
74,31.0,2500000.0,2.8060056614077435,Apple,0
105,25.0,39311.95287028631,55.343276009008754,,0
138,31.0,81420.83048235018,45.742911528604886,Apple,1
207,19.0,,84.20352356606188,Samsung,0
77,25.0,29023.42640351816,89.76441603442805,Apple,0
174,47.0,56255.50087302372,50.72654639879048,Apple,1
114,24.0,46012.43903207036,79.63465554667978,Sony,1
34,32.0,48062.05336874495,4.016743120625822,Sony,1
276,20.0,22322.33021532213,84.13909708620048,Sony,1
252,57.0,,43.25210162833819,Apple,0
109,22.0,82740.34837266915,14.743652570760018,Nothing,0
4,60.0,37750.05291341104,55.32281561153346,Nothing,0
83,62.0,93109.23250757842,72.56671356555579,Nothing,1
260,59.0,,30.110423242876184,Nothing,0
94,18.0,50031.867545871086,,Nothing,1
102,41.0,78524.65085770068,37.55381766947971,Nothing,0
46,31.0,,34.949759563547765,Sony,0
18,19.0,33129.524718651344,86.9618095965231,Apple,0
198,41.0,54273.06967668161,unknown,Samsung,1
120,40.0,,99.10201816928166,Samsung,0
43,35.0,77656.7532101878,9.831228542493562,Samsung,1
25,50.0,24334.978756689525,76.23558548482097,Nothing,0
180,18.0,42410.64319506486,60.24582741931748,Nothing,0
243,36.0,78483.0476617107,97.57859025259287,Samsung,0
299,53.0,72322.13308039498,63.690836716185096,Samsung,0
197,,87176.33266665458,11.11905375829476,Nothing,0
227,51.0,62841.00183835136,47.10431210956251,Sony,0
8,36.0,22269.43908428723,13.746091431664746,Sony,0
288,42.0,100642.85051918439,72.36049653474015,Sony,0
78,31.0,53137.41871791804,58.02384336276034,,0
115,250.0,51629.82237579135,11.56322576123017,Appel,0
240,36.0,64504.70705611207,22.789624194028608,Nothing,0
146,30.0,58469.35877296907,missing,Nothing,1
85,64.0,61731.3162904511,72.12726981281881,Apple,1
182,30.0,36560.4629109911,,Sony,1
231,33.0,57840.30071293883,4.2518203541003965,Nothin,0
186,23.0,21701.852607809553,34.9099014606758,N/A,0
199,58.0,60912.1567985119,79.21837907528459,Nothing,1
196,49.0,43117.84535182506,59.703327620623334,Apple,1
211,49.0,53836.44093450426,17.386530526361685,Nothing,0
225,41.0,93693.69929211243,86.48829592068275,Apple,1
159,53.0,,57.74193407648148,Samsung,0
127,44.0,68972.9734810401,82.9661478305717,Samsung,0
110,59.0,68937.80289548135,1.2683790420186374,Soni,1
248,50.0,44418.39541504249,19.261824270466754,Samsung,1
235,,65173.338240204335,17.385818425369408,Apple,0
203,20.0,76871.48045560688,38.06910160232178,Sony,0
79,999.0,63677.110288191165,91.82216569546763,Nothing,0
148,56.0,54033.97553672585,7.59529212669088,Sony,0
